"id","canton_id","date","total","created_at","updated_at"
"761","3","2020-05-04","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"762","4","2020-05-04","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"763","5","2020-05-04","3","2020-10-27 09:01:24","2020-10-27 09:01:24"
"764","6","2020-05-04","1","2020-10-27 09:01:24","2020-10-27 09:01:24"
"765","7","2020-05-04","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"766","8","2020-05-04","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"767","9","2020-05-04","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"768","10","2020-05-04","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"769","11","2020-05-04","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"770","0","2020-05-04","4","2020-10-27 09:01:24","2020-10-27 09:01:24"
"771","2","2020-05-05","9","2020-10-27 09:01:24","2020-10-27 09:01:24"
"772","3","2020-05-05","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"773","4","2020-05-05","0","2020-10-27 09:01:24","2020-10-27 09:01:24"
"774","5","2020-05-05","2","2020-10-27 09:01:25","2020-10-27 09:01:25"
"775","6","2020-05-05","0","2020-10-27 09:01:25","2020-10-27 09:01:25"
"776","7","2020-05-05","0","2020-10-27 09:01:25","2020-10-27 09:01:25"
"777","8","2020-05-05","0","2020-10-27 09:01:25","2020-10-27 09:01:25"
"778","9","2020-05-05","0","2020-10-27 09:01:25","2020-10-27 09:01:25"
"779","10","2020-05-05","0","2020-10-27 09:01:25","2020-10-27 09:01:25"
"780","11","2020-05-05","0","2020-10-27 09:01:25","2020-10-27 09:01:25"
"781","0","2020-05-05","11","2020-10-27 09:01:25","2020-10-27 09:01:25"
