date,canton_id,total
15.6.2020,8,0
15.6.2020,9,0
15.6.2020,10,6
15.6.2020,11,0
15.6.2020,0,30
16.6.2020,2,0
16.6.2020,3,0
16.6.2020,4,15
16.6.2020,5,1
16.6.2020,6,0
16.6.2020,7,0
16.6.2020,8,1
16.6.2020,9,0
16.6.2020,10,10
16.6.2020,11,0
16.6.2020,0,27
17.6.2020,2,0
17.6.2020,3,0
17.6.2020,4,14
17.6.2020,5,0
17.6.2020,6,0
17.6.2020,7,1
17.6.2020,8,3
17.6.2020,9,0
17.6.2020,10,5
17.6.2020,11,0
17.6.2020,0,23
18.6.2020,2,1
18.6.2020,3,0
18.6.2020,4,46
18.6.2020,5,5
18.6.2020,6,0
18.6.2020,7,0
18.6.2020,8,1
18.6.2020,9,0
18.6.2020,10,17
18.6.2020,11,0
18.6.2020,0,70
19.6.2020,2,0
19.6.2020,3,0
19.6.2020,4,1
19.6.2020,5,2
19.6.2020,6,0
19.6.2020,7,3
19.6.2020,8,0
19.6.2020,9,0
19.6.2020,10,4
19.6.2020,11,0
19.6.2020,0,10
20.6.2020,2,1
20.6.2020,3,0
20.6.2020,4,30
20.6.2020,5,7
20.6.2020,6,0
20.6.2020,7,3
20.6.2020,8,0
20.6.2020,9,0
20.6.2020,10,20
20.6.2020,11,0
20.6.2020,0,61
21.6.2020,2,2
21.6.2020,3,0
21.6.2020,4,10
21.6.2020,5,3
21.6.2020,6,0
21.6.2020,7,0
21.6.2020,8,0
21.6.2020,9,0
21.6.2020,10,15
21.6.2020,11,0
21.6.2020,0,30
22.6.2020,2,0
22.6.2020,3,0
22.6.2020,4,13
22.6.2020,5,5
22.6.2020,6,1
22.6.2020,7,1
22.6.2020,8,0
22.6.2020,9,0
22.6.2020,10,12
22.6.2020,11,0
22.6.2020,0,32
23.6.2020,2,1
23.6.2020,3,0
23.6.2020,4,26
23.6.2020,5,10
23.6.2020,6,0
23.6.2020,7,2
23.6.2020,8,1
23.6.2020,9,0
23.6.2020,10,14
23.6.2020,11,0
23.6.2020,0,54
24.6.2020,2,0
24.6.2020,3,0
24.6.2020,4,26
24.6.2020,5,2
24.6.2020,6,0
24.6.2020,7,4
24.6.2020,8,5
24.6.2020,9,0
24.6.2020,10,17
24.6.2020,11,0
24.6.2020,0,54
25.6.2020,2,0
25.6.2020,3,0
25.6.2020,4,18
25.6.2020,5,10
25.6.2020,6,0
25.6.2020,7,1
25.6.2020,8,5
25.6.2020,9,1
25.6.2020,10,36
25.6.2020,11,0
25.6.2020,0,71
26.6.2020,2,0
26.6.2020,3,0
26.6.2020,4,34
26.6.2020,5,4
26.6.2020,6,0
26.6.2020,7,1
26.6.2020,8,54
26.6.2020,9,3
26.6.2020,10,8
26.6.2020,11,0
26.6.2020,0,104
27.6.2020,2,5
27.6.2020,3,0
27.6.2020,4,23
27.6.2020,5,3
27.6.2020,6,2
27.6.2020,7,0
27.6.2020,8,4
27.6.2020,9,0
27.6.2020,10,38
27.6.2020,11,0
27.6.2020,0,75
28.6.2020,2,0
28.6.2020,3,0
28.6.2020,4,57
28.6.2020,5,6
28.6.2020,6,1
28.6.2020,7,6
28.6.2020,8,0
28.6.2020,9,0
28.6.2020,10,35
28.6.2020,11,0
28.6.2020,0,105
29.6.2020,2,0
29.6.2020,3,0
29.6.2020,4,22
29.6.2020,5,6
29.6.2020,6,1
29.6.2020,7,0
29.6.2020,8,2
29.6.2020,9,4
29.6.2020,10,30
29.6.2020,11,0
29.6.2020,0,65
30.6.2020,2,0
30.6.2020,3,0
30.6.2020,4,7
30.6.2020,5,10
30.6.2020,6,0
30.6.2020,7,2
30.6.2020,8,19
30.6.2020,9,1
30.6.2020,10,38
30.6.2020,11,2
30.6.2020,0,79
1.7.2020,2,1
1.7.2020,3,0
1.7.2020,4,60
1.7.2020,5,15
1.7.2020,6,2
1.7.2020,7,5
1.7.2020,8,13
1.7.2020,9,0
1.7.2020,10,50
1.7.2020,11,0
1.7.2020,0,146
2.7.2020,2,1
2.7.2020,3,0
2.7.2020,4,22
2.7.2020,5,10
2.7.2020,6,1
2.7.2020,7,1
2.7.2020,8,13
2.7.2020,9,1
2.7.2020,10,51
2.7.2020,11,2
2.7.2020,0,102
3.7.2020,2,1
3.7.2020,3,0
3.7.2020,4,31
